lat,lon
33.599,-7.620
32.050,-7.400
34.043,-5.003
35.777,-5.804
31.630,-7.981
34.050,-6.817
34.025,-6.836
33.883,-5.550
34.250,-6.583
30.417,-9.583
34.690,-1.910
35.567,-5.367
34.410,-2.890
33.923,-6.908
32.283,-9.233
27.150,-13.200
33.683,-7.383
32.880,-6.900
32.339,-6.361
33.257,-8.503
30.334,-9.497
35.167,-2.933
34.214,-4.009
33.002,-7.620
33.270,-7.587
33.810,-6.060
30.366,-9.538
35.000,-5.900
35.183,-6.150
28.983,-10.067
32.930,-5.660
34.917,-2.317
33.449,-7.649
32.500,-6.700
32.860,-6.560
34.260,-5.930
31.932,-4.424
34.230,-3.360
30.400,-9.210
23.714,-15.937
32.230,-7.950
30.217,-8.383
33.900,-6.330
30.294,-9.454
30.471,-8.878
33.830,-4.830
31.513,-9.769
35.850,-5.350
30.174,-9.488
34.210,-5.700
29.700,-9.727
33.198,-8.588
28.433,-11.100
30.917,-6.917
32.250,-8.530
31.626,-8.103
35.610,-5.270
33.637,-7.448
33.850,-7.030
34.800,-5.600
33.826,-6.904
33.612,-7.121
35.247,-3.932
35.257,-2.934
35.686,-5.325
32.655,-8.429
32.680,-4.740
33.430,-5.210
33.811,-6.792
33.668,-7.251
26.733,-11.683
33.417,-7.533
35.010,-3.007
32.600,-6.260
32.760,-6.400
34.310,-2.160
35.171,-5.270
33.167,-5.567
34.717,-6.267
31.515,-5.533
34.585,-2.506
33.283,-8.333
30.363,-9.414
34.803,-5.345
35.066,-6.094
30.332,-5.838
31.564,-7.663
30.233,-9.533
31.960,-6.560
34.306,-6.306
30.214,-9.371
34.536,-4.640
33.789,-7.160
30.483,-9.633
34.940,-2.733
33.150,-5.833
33.693,-5.371
34.767,-5.517
33.450,-7.510
35.158,-3.002
35.145,-3.851
31.651,-8.302
32.350,-6.633
33.112,-7.406
33.558,-7.486
34.900,-5.917
33.068,-8.511
34.770,-6.305
34.579,-5.963
34.417,-6.433
32.317,-6.900
35.467,-6.033
31.731,-7.036
34.850,-6.067
33.617,-3.550
31.436,-4.233
31.500,-8.100
32.531,-1.963
32.817,-8.500
35.064,-5.203
34.483,-5.517
34.256,-6.675
33.250,-8.335
32.257,-6.784
33.933,-5.217
34.189,-5.970
31.533,-8.767
34.048,-4.429
30.031,-9.554
32.417,-6.333
34.293,-6.159
34.933,-4.783
34.879,-6.293
33.897,-5.361
34.592,-4.549
31.506,-7.716
34.983,-4.917
31.583,-8.483
32.632,-8.846
33.050,-3.991
34.483,-4.700
32.654,-5.921
34.125,-6.748
32.033,-9.163
34.558,-6.008
31.867,-6.750
32.874,-8.859
33.960,-4.995
32.071,-8.653
30.639,-8.473
33.950,-4.450
31.226,-7.676
31.067,-6.540
32.417,-7.100
33.361,-7.611
34.438,-5.684
32.567,-6.983
35.720,-5.894
31.650,-7.836
34.382,-4.376
26.093,-10.609
30.675,-8.174
30.467,-9.917
35.133,-3.967
35.133,-3.083
30.000,-8.500
31.967,-4.333
32.500,-5.000
32.550,-9.150
32.350,-6.350
32.533,-1.967
33.600,-7.600
33.600,-7.600
33.183,-8.283
31.967,-4.333
35.017,-4.017
31.533,-9.700
33.733,-7.350
34.000,-5.000
34.000,-5.000
32.083,-7.200
28.933,-10.000
28.933,-10.000
32.500,-5.000
32.500,-5.000
28.000,-12.983
34.250,-6.667
33.833,-6.017
32.967,-6.950
35.000,-6.000
31.967,-4.333
31.150,-1.333
33.183,-8.283
33.950,-5.550
31.533,-9.700
33.733,-7.350
35.083,-2.417
33.000,-0.833
35.233,-0.967
30.917,-6.833
34.850,-5.583
34.683,-1.917
34.033,-6.800
30.633,-9.900
32.300,-9.333
33.000,-7.667
35.833,-5.817
35.833,-5.817
31.000,-1.333
27.850,-11.983
27.917,-11.150
28.083,-10.250
28.883,-9.333
33.400,-6.433
33.267,-6.250
33.100,-6.717
33.900,-7.450
34.021,-6.842
30.428,-9.598
29.697,-9.733
31.520,-5.530
31.506,-9.754
33.351,-7.578
33.590,-7.604
34.689,-1.913
31.629,-7.992
27.125,-13.163
34.921,-2.324
33.233,-8.500
